lat,long,diameter
14,15,32.56698544176895
3,183,10.217907939900583
10,202,21.909160375631842
9,225,16.50676414605009
6,263,18.26441241104166
10,82,16.583719174624104
22,174,17.407785949022028
35,285,26.726155439876237
21,263,10.155412503859614
23,240,10.940041919714261
24,156,8.740387444736633
45,124,19.182445840623714
31,46,8.368283871884005
31,219,7.978845608028654
39,15,7.569397566060481
42,240,11.055812783082736
46,73,13.727325035155395
49,199,15.512648837479231
48,216,4.787307364817192
52,150,6.180387232371033
55,31,6.955796338302048
55,100,7.569397566060481
68,184,17.66192765414112
63,260,14.27299292922217
64,69,8.368283871884005
63,286,5.170882945826411
67,222,9.23618154310838
77,124,9.0270333367641
80,80,17.334489682638438
107,269,48.54653846882171
95,159,13.303394180365686
94,134,6.863662517577698
98,48,11.055812783082736
103,105,14.228319915326999
104,19,5.970821321441846
106,232,9.640875829802336
117,90,10.217907939900583
118,172,5.970821321441846
124,132,7.312732791431452
126,71,11.617374563210365
125,210,9.574614729634384
128,38,10.02925341359355
136,225,7.046725639945928
138,157,7.136496464611085
144,180,20.928315827817965
138,242,7.48482063701911
153,281,33.244126170349574
140,89,4.918490759365935
147,60,10.704744696916627
147,132,14.494292838262302
150,146,6.955796338302048
151,156,6.6755811781245455
153,18,8.291859587312052
156,39,9.574614729634384
154,109,4.068428945128219
162,205,16.11647812414279
162,241,12.360774464742066
163,99,6.770275002573076
166,14,10.155412503859614
163,59,5.292567428401227
166,139,9.166995688475081
169,188,15.67594437773643
177,123,17.94796937867892
177,212,19.706294962377495
180,258,20.83685880248485
205,146,43.02662313085849
181,82,10.585134856802455
181,294,6.770275002573076
192,94,19.706294962377495
191,19,17.297725082009
198,190,19.576646877473273
194,73,12.309163489997376
206,45,10.998079684646791
206,129,8.214724333230155
210,290,11.617374563210365
214,113,13.159049284959082
211,248,6.770275002573076
215,78,8.95623198216277
218,31,4.787307364817192
221,99,10.155412503859614
228,196,22.34076770248023
228,11,20.153496341094687
231,226,14.317526556719258
232,79,10.704744696916627
232,275,8.740387444736633
232,176,5.292567428401227
234,247,8.444016491289505
